EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,hrs
32,Very High,Very High,Better,28,No,Travel_Rarely,Research & Development,7,Bachelor,Other,1,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,Medium,Excellent,6.7096659779613885
33,High,Low,Better,49,No,Travel_Frequently,Research & Development,1,Below College,Medical,1,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,High,Excellent,10.473456264775278
34,High,Medium,Better,36,No,Travel_Rarely,Sales,5,Bachelor,Technical Degree,1,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,High,Excellent,6.182887517146667
35,Very High,Medium,Good,31,No,Travel_Frequently,Research & Development,9,Master,Medical,1,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,High,Excellent,6.586388888888889
36,Very High,Very High,Better,26,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,High,Excellent,10.2281545064375
37,Medium,Very High,Good,37,No,Travel_Frequently,Sales,9,Below College,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,High,Excellent,9.900907331511666
38,High,Medium,Best,42,No,Travel_Frequently,Sales,2,College,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,High,Excellent,5.97956763285
39,High,High,Better,18,Yes,Travel_Rarely,Research & Development,1,Master,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,Medium,Excellent,6.716789180009444
40,High,Medium,Good,35,No,Travel_Rarely,Sales,20,College,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,Medium,Excellent,7.6901603905158336
41,High,High,Better,36,No,Travel_Frequently,Research & Development,8,Bachelor,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,Medium,Excellent,7.204732468123611
42,Very High,Medium,Better,51,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,Medium,Excellent,7.530678621659445
43,Very High,Medium,Better,41,No,Travel_Rarely,Research & Development,29,Below College,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,High,Excellent,6.952642332415
44,Very High,High,Better,18,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,High,Excellent,7.008878472222222
45,Medium,Low,Better,28,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,Medium,Outstanding,7.201573315118333
46,Medium,Very High,Good,31,No,Travel_Rarely,Research & Development,8,Below College,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,High,Excellent,7.113595041322222
47,High,Very High,Good,39,No,Travel_Rarely,Sales,5,Master,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,High,Outstanding,7.636801418439444
48,Medium,Medium,Better,36,No,Non-Travel,Research & Development,5,Master,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,High,Outstanding,7.832781293951944
49,Very High,High,Good,32,No,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,High,Outstanding,6.944173976608056
50,Low,Medium,Better,38,No,Travel_Rarely,Research & Development,5,College,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,Medium,Excellent,6.876265162542222
51,Very High,High,Better,58,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,Medium,Excellent,10.895463728190833
52,High,Very High,Better,31,No,Travel_Rarely,Research & Development,20,Below College,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,Medium,Excellent,9.12566572902
53,Low,Low,Better,31,No,Travel_Rarely,Sales,7,Master,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,High,Outstanding,6.802995370370278
54,Low,Low,Better,45,No,Travel_Frequently,Research & Development,3,Below College,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,High,Excellent,7.316049905837778
55,High,Very High,Bad,31,No,Travel_Rarely,Sales,16,Master,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,High,Excellent,8.5756519274375
56,Very High,Medium,Better,33,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,High,Excellent,6.784845288326111
57,High,Low,Better,39,No,Travel_Rarely,Sales,1,Master,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,High,Outstanding,10.9860997732425
58,High,Very High,Better,43,No,Travel_Frequently,Research & Development,7,Master,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,High,Excellent,7.6528715886938885
59,High,High,Better,49,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,High,Outstanding,9.948856881572778
60,High,Medium,Good,52,Yes,Travel_Rarely,Research & Development,7,Below College,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,High,Excellent,7.872587962962778
61,High,Medium,Good,27,No,Travel_Rarely,Research & Development,15,Master,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,High,Outstanding,10.672414617486112
62,High,Medium,Better,32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,Very High,Excellent,10.496171548116944
63,Very High,High,Better,27,No,Travel_Rarely,Research & Development,13,College,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,Very High,Excellent,9.982830233666945
64,Very High,Very High,Better,31,No,Travel_Rarely,Sales,24,Bachelor,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,Very High,Excellent,6.6070141746683335
65,Low,Very High,Good,32,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,High,Excellent,7.4664110644255555
66,Low,Very High,Good,28,Yes,Travel_Rarely,Research & Development,9,Master,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,Medium,Excellent,10.727235717498612
67,Very High,Very High,Better,30,No,Travel_Rarely,Research & Development,13,Bachelor,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,High,Excellent,6.158272532188611
68,High,High,Better,31,No,Travel_Frequently,Research & Development,2,Below College,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,Medium,Excellent,6.551576904415278
69,High,Very High,Better,39,No,Travel_Frequently,Research & Development,19,Master,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,High,Excellent,6.049712518195
70,Very High,High,Good,39,Yes,Travel_Rarely,Research & Development,1,Below College,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,High,Excellent,9.971745709123612
71,Medium,Very High,Good,33,No,Travel_Frequently,Sales,4,College,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,High,Excellent,7.390911065386111
72,Very High,High,Better,47,No,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,Very High,Outstanding,6.467196038251111
73,High,High,Best,43,No,Travel_Frequently,Research & Development,14,Bachelor,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,High,Excellent,6.272777777777778
74,High,Medium,Better,27,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,High,Excellent,9.316973304473056
75,Very High,High,Good,54,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,High,Excellent,6.071691702431944
76,High,Low,Good,43,No,Travel_Rarely,Research & Development,7,College,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,High,Outstanding,7.1871292422127775
77,Very High,Very High,Better,45,No,Travel_Rarely,Sales,3,Below College,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,High,Excellent,7.100070018365278
78,Medium,Very High,Good,40,No,Travel_Rarely,Research & Development,2,Master,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,High,Excellent,9.871374521072777
79,Medium,Low,Good,29,Yes,Travel_Rarely,Research & Development,29,Bachelor,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,High,Excellent,10.477788647342777
80,Medium,Very High,Better,29,No,Travel_Rarely,Human Resources,8,Bachelor,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,High,Outstanding,6.906938633193611
81,Very High,High,Better,30,No,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,Medium,Excellent,7.58909243295
82,Medium,Medium,Better,27,No,Travel_Rarely,Research & Development,11,College,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,Medium,Excellent,6.079724499089167
83,Very High,Very High,Good,37,No,Travel_Rarely,Sales,1,Master,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,High,Excellent,6.001112288135555
84,High,Very High,Better,38,No,Travel_Rarely,Research & Development,28,Master,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,High,Excellent,8.983123278236667
85,High,Very High,Better,31,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,High,Excellent,10.426184640522777
86,Very High,Medium,Better,29,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,High,Excellent,8.387526183970833
87,High,Medium,Better,35,No,Travel_Rarely,Sales,16,College,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,Very High,Excellent,7.811461864406667
88,High,Very High,Good,23,No,Travel_Rarely,Research & Development,20,Master,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,Medium,Outstanding,7.105291842475277
89,Very High,Medium,Better,41,No,Travel_Rarely,Research & Development,9,College,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,High,Excellent,9.608229598893333
90,Medium,High,Better,47,No,Travel_Frequently,Sales,1,Bachelor,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,Very High,Excellent,7.770347512784722
91,Low,Very High,Better,42,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,Low,Outstanding,6.231692236169167
92,Very High,High,Good,29,No,Non-Travel,Sales,22,Master,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,Medium,Outstanding,6.199676511954722
93,High,High,Better,42,No,Travel_Rarely,Sales,7,Master,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,Medium,Excellent,8.793019165453611
94,High,Medium,Better,32,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,High,Excellent,7.6890912356319445
95,Low,High,Bad,48,No,Travel_Rarely,Sales,13,Master,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,Medium,Excellent,7.286208452041667
96,High,Low,Better,37,No,Travel_Rarely,Research & Development,8,Doctor,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,High,Excellent,10.798262483130832
97,Very High,High,Best,30,No,Non-Travel,Sales,25,Master,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,High,Outstanding,10.401363945578055
98,High,High,Better,26,No,Travel_Rarely,Sales,28,Bachelor,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,High,Excellent,5.994326703246389
99,Low,Very High,Better,42,No,Travel_Rarely,Sales,2,College,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,High,Excellent,6.113110181310834
100,Low,Medium,Better,21,Yes,Travel_Frequently,Research & Development,9,Bachelor,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,Medium,Excellent,8.133578096538889
101,Very High,Very High,Better,36,No,Non-Travel,Human Resources,28,Bachelor,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,Low,Outstanding,7.274808059131945
102,Low,Very High,Better,36,No,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,High,Excellent,7.105030345471389
103,Very High,High,Better,57,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,Low,Excellent,6.274330754805278
104,Very High,High,Better,40,No,Travel_Rarely,Research & Development,8,Bachelor,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,High,Excellent,8.025183615819167
105,Low,Very High,Good,21,No,Non-Travel,Research & Development,1,Doctor,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,Low,Excellent,7.986432557011111
106,Very High,High,Better,33,Yes,Travel_Rarely,Human Resources,28,College,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,Low,Outstanding,10.418890081068055
107,High,Low,Better,37,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,1,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,Very High,Excellent,7.958830220306389
108,High,High,Best,46,No,Non-Travel,Sales,2,Master,Marketing,1,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,High,Excellent,6.024385521885278
109,Low,Medium,Better,41,Yes,Travel_Frequently,Research & Development,16,Below College,Medical,1,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,Very High,Excellent,7.587908917501111
110,Very High,Very High,Better,50,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3,High,Excellent,6.830921934865834
111,High,High,Better,40,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,1,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0,Medium,Outstanding,9.256442080378056
112,High,Medium,Better,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2,High,Outstanding,10.806078364950277
113,High,Medium,Better,21,Yes,Travel_Rarely,Human Resources,10,College,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0,High,Excellent,5.995219806763056
114,Very High,Very High,Better,29,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,Very High,Excellent,7.788609977324167
115,High,Medium,Better,35,No,Travel_Rarely,Research & Development,29,Bachelor,Life Sciences,1,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0,High,Excellent,7.652852474323056
116,Very High,Medium,Better,27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,<built-in method __round__ of numpy.float64 object at 0x0000018675B7B030>,Y,12,8,1,5.0,2,5,0,4,High,Excellent,6.111102906704167
117,Medium,Very High,Better,28,No,Travel_Rarely,Research & Development,2,College,Medical,1,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7,Medium,Excellent,7.090053648068611
118,Medium,High,Better,49,No,Travel_Rarely,Sales,2,Bachelor,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0,High,Excellent,7.792723605348056
119,High,Very High,Good,51,No,Travel_Rarely,Research & Development,1,College,Life Sciences,1,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7,High,Outstanding,7.586129306161944
120,Very High,High,Better,36,No,Travel_Rarely,Sales,15,College,Life Sciences,1,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2,High,Excellent,6.002463200379722
121,Low,Very High,Good,34,Yes,Non-Travel,Research & Development,7,Bachelor,Life Sciences,1,Male,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,5,0,4,High,Outstanding,9.036222456633611
122,High,Very High,Better,55,No,Travel_Rarely,Sales,26,Bachelor,Marketing,1,Male,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,5,1,2,High,Excellent,8.611163632119444
123,Very High,High,Best,24,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3,High,Excellent,9.949871332371112
124,High,Medium,Better,30,No,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0,High,Excellent,6.900539923039722
125,High,High,Better,26,Yes,Travel_Frequently,Sales,14,Bachelor,Life Sciences,1,Male,2,Manager,Single,75100,0.0,Y,18,8,3,7.0,3,6,0,4,High,Excellent,6.999357638888889
126,Low,Medium,Better,22,No,Travel_Rarely,Research & Development,16,Doctor,Other,1,Male,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1,2,Medium,Excellent,6.232271101573611
127,Medium,High,Better,36,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Female,5,Healthcare Representative,Married,196360,1.0,Y,12,8,1,10.0,3,10,9,0,High,Excellent,6.339289732770555
128,High,Very High,Better,30,Yes,Travel_Frequently,Sales,3,College,Marketing,1,Male,3,Research Scientist,Single,11290,9.0,Y,19,8,0,3.0,2,1,0,0,Medium,Excellent,8.191660879629444
129,Very High,Low,Good,37,No,Travel_Rarely,Research & Development,10,Below College,Technical Degree,1,Male,1,Sales Executive,Divorced,133410,1.0,Y,14,8,1,18.0,3,18,12,17,High,Excellent,6.452089120370278
130,Very High,Medium,Better,40,No,Travel_Rarely,Research & Development,6,College,Medical,1,Male,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,5,1,3,Medium,Excellent,6.654056036555834
